Latitude,Length,Polygon,Plot,Variety,Year,Phenological stage,Date
42º 19' 28.86'' N,1º 58' 29.37'' W,35,111,Tempranillo,2018,A,15/02/2018
42º 19' 28.86'' N,1º 58' 29.37'' W,35,111,Tempranillo,2018,B,22/03/2018
42º 19' 28.86'' N,1º 58' 29.37'' W,35,111,Tempranillo,2018,C,29/03/2018
42º 19' 28.86'' N,1º 58' 29.37'' W,35,111,Tempranillo,2018,D,07/04/2018
42º 19' 28.86'' N,1º 58' 29.37'' W,35,111,Tempranillo,2018,E,08/04/2018
42º 19' 28.86'' N,1º 58' 29.37'' W,35,111,Tempranillo,2018,F,11/04/2018
42º 19' 28.86'' N,1º 58' 29.37'' W,35,111,Tempranillo,2018,G,29/04/2018
42º 19' 28.86'' N,1º 58' 29.37'' W,35,111,Tempranillo,2018,H,02/05/2018
42º 19' 28.86'' N,1º 58' 29.37'' W,35,111,Tempranillo,2018,I,01/06/2018
42º 19' 28.86'' N,1º 58' 29.37'' W,35,111,Tempranillo,2018,J,07/06/2018
42º 19' 28.86'' N,1º 58' 29.37'' W,35,111,Tempranillo,2018,K,30/06/2018
42º 19' 28.86'' N,1º 58' 29.37'' W,35,111,Tempranillo,2018,L,14/07/2018
42º 19' 28.86'' N,1º 58' 29.37'' W,35,111,Tempranillo,2018,M,06/08/2018
42º 19' 28.86'' N,1º 58' 29.37'' W,35,111,Tempranillo,2018,N,18/09/2018
42º 19' 28.86'' N,1º 58' 29.37'' W,35,111,Tempranillo,2018,O,12/11/2018
42º 19' 34.62'' N,1º 58' 26.07'' W,35,119,Tempranillo,2018,A,17/02/2018
42º 19' 34.62'' N,1º 58' 26.07'' W,35,119,Tempranillo,2018,B,21/03/2018
42º 19' 34.62'' N,1º 58' 26.07'' W,35,119,Tempranillo,2018,C,30/03/2018
42º 19' 34.62'' N,1º 58' 26.07'' W,35,119,Tempranillo,2018,D,04/04/2018
42º 19' 34.62'' N,1º 58' 26.07'' W,35,119,Tempranillo,2018,E,11/04/2018
42º 19' 34.62'' N,1º 58' 26.07'' W,35,119,Tempranillo,2018,F,10/04/2018
42º 19' 34.62'' N,1º 58' 26.07'' W,35,119,Tempranillo,2018,G,29/04/2018
42º 19' 34.62'' N,1º 58' 26.07'' W,35,119,Tempranillo,2018,H,05/05/2018
42º 19' 34.62'' N,1º 58' 26.07'' W,35,119,Tempranillo,2018,I,03/06/2018
42º 19' 34.62'' N,1º 58' 26.07'' W,35,119,Tempranillo,2018,J,05/06/2018
42º 19' 34.62'' N,1º 58' 26.07'' W,35,119,Tempranillo,2018,K,30/06/2018
42º 19' 34.62'' N,1º 58' 26.07'' W,35,119,Tempranillo,2018,L,14/07/2018
42º 19' 34.62'' N,1º 58' 26.07'' W,35,119,Tempranillo,2018,M,05/08/2018
42º 19' 34.62'' N,1º 58' 26.07'' W,35,119,Tempranillo,2018,N,18/09/2018
42º 19' 34.62'' N,1º 58' 26.07'' W,35,119,Tempranillo,2018,O,11/11/2018
42º 19' 31.60'' N,1º 58' 29.81'' W,35,117,Tempranillo,2018,A,13/02/2018
42º 19' 31.60'' N,1º 58' 29.81'' W,35,117,Tempranillo,2018,B,24/03/2018
42º 19' 31.60'' N,1º 58' 29.81'' W,35,117,Tempranillo,2018,C,31/03/2018
42º 19' 31.60'' N,1º 58' 29.81'' W,35,117,Tempranillo,2018,D,07/04/2018
42º 19' 31.60'' N,1º 58' 29.81'' W,35,117,Tempranillo,2018,E,11/04/2018
42º 19' 31.60'' N,1º 58' 29.81'' W,35,117,Tempranillo,2018,F,12/04/2018
42º 19' 31.60'' N,1º 58' 29.81'' W,35,117,Tempranillo,2018,G,29/04/2018
42º 19' 31.60'' N,1º 58' 29.81'' W,35,117,Tempranillo,2018,H,02/05/2018
42º 19' 31.60'' N,1º 58' 29.81'' W,35,117,Tempranillo,2018,I,31/05/2018
42º 19' 31.60'' N,1º 58' 29.81'' W,35,117,Tempranillo,2018,J,08/06/2018
42º 19' 31.60'' N,1º 58' 29.81'' W,35,117,Tempranillo,2018,K,02/07/2018
42º 19' 31.60'' N,1º 58' 29.81'' W,35,117,Tempranillo,2018,L,15/07/2018
42º 19' 31.60'' N,1º 58' 29.81'' W,35,117,Tempranillo,2018,M,06/08/2018
42º 19' 31.60'' N,1º 58' 29.81'' W,35,117,Tempranillo,2018,N,18/09/2018
42º 19' 31.60'' N,1º 58' 29.81'' W,35,117,Tempranillo,2018,O,11/11/2018
42º 19' 35.97'' N,1º 58' 32.57'' W,35,93,Tempranillo,2018,A,15/02/2018
42º 19' 35.97'' N,1º 58' 32.57'' W,35,93,Tempranillo,2018,B,21/03/2018
42º 19' 35.97'' N,1º 58' 32.57'' W,35,93,Tempranillo,2018,C,30/03/2018
42º 19' 35.97'' N,1º 58' 32.57'' W,35,93,Tempranillo,2018,D,06/04/2018
42º 19' 35.97'' N,1º 58' 32.57'' W,35,93,Tempranillo,2018,E,08/04/2018
42º 19' 35.97'' N,1º 58' 32.57'' W,35,93,Tempranillo,2018,F,10/04/2018
42º 19' 35.97'' N,1º 58' 32.57'' W,35,93,Tempranillo,2018,G,26/04/2018
42º 19' 35.97'' N,1º 58' 32.57'' W,35,93,Tempranillo,2018,H,05/05/2018
42º 19' 35.97'' N,1º 58' 32.57'' W,35,93,Tempranillo,2018,I,31/05/2018
42º 19' 35.97'' N,1º 58' 32.57'' W,35,93,Tempranillo,2018,J,05/06/2018
42º 19' 35.97'' N,1º 58' 32.57'' W,35,93,Tempranillo,2018,K,01/07/2018
42º 19' 35.97'' N,1º 58' 32.57'' W,35,93,Tempranillo,2018,L,17/07/2018
42º 19' 35.97'' N,1º 58' 32.57'' W,35,93,Tempranillo,2018,M,05/08/2018
42º 19' 35.97'' N,1º 58' 32.57'' W,35,93,Tempranillo,2018,N,16/09/2018
42º 19' 35.97'' N,1º 58' 32.57'' W,35,93,Tempranillo,2018,O,10/11/2018
42º 19' 37.27'' N,1º 58' 31.21'' W,35,101,Tempranillo,2018,A,16/02/2018
42º 19' 37.27'' N,1º 58' 31.21'' W,35,101,Tempranillo,2018,B,24/03/2018
42º 19' 37.27'' N,1º 58' 31.21'' W,35,101,Tempranillo,2018,C,28/03/2018
42º 19' 37.27'' N,1º 58' 31.21'' W,35,101,Tempranillo,2018,D,05/04/2018
42º 19' 37.27'' N,1º 58' 31.21'' W,35,101,Tempranillo,2018,E,08/04/2018
42º 19' 37.27'' N,1º 58' 31.21'' W,35,101,Tempranillo,2018,F,12/04/2018
42º 19' 37.27'' N,1º 58' 31.21'' W,35,101,Tempranillo,2018,G,28/04/2018
42º 19' 37.27'' N,1º 58' 31.21'' W,35,101,Tempranillo,2018,H,04/05/2018
42º 19' 37.27'' N,1º 58' 31.21'' W,35,101,Tempranillo,2018,I,03/06/2018
42º 19' 37.27'' N,1º 58' 31.21'' W,35,101,Tempranillo,2018,J,05/06/2018
42º 19' 37.27'' N,1º 58' 31.21'' W,35,101,Tempranillo,2018,K,01/07/2018
42º 19' 37.27'' N,1º 58' 31.21'' W,35,101,Tempranillo,2018,L,15/07/2018
42º 19' 37.27'' N,1º 58' 31.21'' W,35,101,Tempranillo,2018,M,05/08/2018
42º 19' 37.27'' N,1º 58' 31.21'' W,35,101,Tempranillo,2018,N,16/09/2018
42º 19' 37.27'' N,1º 58' 31.21'' W,35,101,Tempranillo,2018,O,11/11/2018
42º 19' 33.77'' N,1º 58' 31.20'' W,35,106,Tempranillo,2018,A,16/02/2018
42º 19' 33.77'' N,1º 58' 31.20'' W,35,106,Tempranillo,2018,B,23/03/2018
42º 19' 33.77'' N,1º 58' 31.20'' W,35,106,Tempranillo,2018,C,30/03/2018
42º 19' 33.77'' N,1º 58' 31.20'' W,35,106,Tempranillo,2018,D,05/04/2018
42º 19' 33.77'' N,1º 58' 31.20'' W,35,106,Tempranillo,2018,E,08/04/2018
42º 19' 33.77'' N,1º 58' 31.20'' W,35,106,Tempranillo,2018,F,13/04/2018
42º 19' 33.77'' N,1º 58' 31.20'' W,35,106,Tempranillo,2018,G,27/04/2018
42º 19' 33.77'' N,1º 58' 31.20'' W,35,106,Tempranillo,2018,H,05/05/2018
42º 19' 33.77'' N,1º 58' 31.20'' W,35,106,Tempranillo,2018,I,31/05/2018
42º 19' 33.77'' N,1º 58' 31.20'' W,35,106,Tempranillo,2018,J,05/06/2018
42º 19' 33.77'' N,1º 58' 31.20'' W,35,106,Tempranillo,2018,K,03/07/2018
42º 19' 33.77'' N,1º 58' 31.20'' W,35,106,Tempranillo,2018,L,17/07/2018
42º 19' 33.77'' N,1º 58' 31.20'' W,35,106,Tempranillo,2018,M,05/08/2018
42º 19' 33.77'' N,1º 58' 31.20'' W,35,106,Tempranillo,2018,N,18/09/2018
42º 19' 33.77'' N,1º 58' 31.20'' W,35,106,Tempranillo,2018,O,13/11/2018
42º 19' 32.31'' N,1º 58' 26.78'' W,35,102,Tempranillo,2018,A,12/02/2018
42º 19' 32.31'' N,1º 58' 26.78'' W,35,102,Tempranillo,2018,B,22/03/2018
42º 19' 32.31'' N,1º 58' 26.78'' W,35,102,Tempranillo,2018,C,28/03/2018
42º 19' 32.31'' N,1º 58' 26.78'' W,35,102,Tempranillo,2018,D,04/04/2018
42º 19' 32.31'' N,1º 58' 26.78'' W,35,102,Tempranillo,2018,E,08/04/2018
42º 19' 32.31'' N,1º 58' 26.78'' W,35,102,Tempranillo,2018,F,10/04/2018
42º 19' 32.31'' N,1º 58' 26.78'' W,35,102,Tempranillo,2018,G,26/04/2018
42º 19' 32.31'' N,1º 58' 26.78'' W,35,102,Tempranillo,2018,H,03/05/2018
42º 19' 32.31'' N,1º 58' 26.78'' W,35,102,Tempranillo,2018,I,03/06/2018
42º 19' 32.31'' N,1º 58' 26.78'' W,35,102,Tempranillo,2018,J,08/06/2018
42º 19' 32.31'' N,1º 58' 26.78'' W,35,102,Tempranillo,2018,K,30/06/2018
42º 19' 32.31'' N,1º 58' 26.78'' W,35,102,Tempranillo,2018,L,17/07/2018
42º 19' 32.31'' N,1º 58' 26.78'' W,35,102,Tempranillo,2018,M,04/08/2018
42º 19' 32.31'' N,1º 58' 26.78'' W,35,102,Tempranillo,2018,N,17/09/2018
42º 19' 32.31'' N,1º 58' 26.78'' W,35,102,Tempranillo,2018,O,11/11/2018
42º 19' 39.01'' N,1º 58' 39.19'' W,35,110,Garnacha,2018,A,13/02/2018
42º 19' 39.01'' N,1º 58' 39.19'' W,35,110,Garnacha,2018,B,21/03/2018
42º 19' 39.01'' N,1º 58' 39.19'' W,35,110,Garnacha,2018,C,31/03/2018
42º 19' 39.01'' N,1º 58' 39.19'' W,35,110,Garnacha,2018,D,07/04/2018
42º 19' 39.01'' N,1º 58' 39.19'' W,35,110,Garnacha,2018,E,11/04/2018
42º 19' 39.01'' N,1º 58' 39.19'' W,35,110,Garnacha,2018,F,10/04/2018
42º 19' 39.01'' N,1º 58' 39.19'' W,35,110,Garnacha,2018,G,26/04/2018
42º 19' 39.01'' N,1º 58' 39.19'' W,35,110,Garnacha,2018,H,04/05/2018
42º 19' 39.01'' N,1º 58' 39.19'' W,35,110,Garnacha,2018,I,01/06/2018
42º 19' 39.01'' N,1º 58' 39.19'' W,35,110,Garnacha,2018,J,05/06/2018
42º 19' 39.01'' N,1º 58' 39.19'' W,35,110,Garnacha,2018,K,03/07/2018
42º 19' 39.01'' N,1º 58' 39.19'' W,35,110,Garnacha,2018,L,17/07/2018
42º 19' 39.01'' N,1º 58' 39.19'' W,35,110,Garnacha,2018,M,05/08/2018
42º 19' 39.01'' N,1º 58' 39.19'' W,35,110,Garnacha,2018,N,09/10/2018
42º 19' 39.01'' N,1º 58' 39.19'' W,35,110,Garnacha,2018,O,10/11/2018
42º 19' 29.65'' N,1º 58' 35.48'' W,35,81,Garnacha,2018,A,17/02/2018
42º 19' 29.65'' N,1º 58' 35.48'' W,35,81,Garnacha,2018,B,24/03/2018
42º 19' 29.65'' N,1º 58' 35.48'' W,35,81,Garnacha,2018,C,30/03/2018
42º 19' 29.65'' N,1º 58' 35.48'' W,35,81,Garnacha,2018,D,04/04/2018
42º 19' 29.65'' N,1º 58' 35.48'' W,35,81,Garnacha,2018,E,08/04/2018
42º 19' 29.65'' N,1º 58' 35.48'' W,35,81,Garnacha,2018,F,12/04/2018
42º 19' 29.65'' N,1º 58' 35.48'' W,35,81,Garnacha,2018,G,26/04/2018
42º 19' 29.65'' N,1º 58' 35.48'' W,35,81,Garnacha,2018,H,04/05/2018
42º 19' 29.65'' N,1º 58' 35.48'' W,35,81,Garnacha,2018,I,03/06/2018
42º 19' 29.65'' N,1º 58' 35.48'' W,35,81,Garnacha,2018,J,08/06/2018
42º 19' 29.65'' N,1º 58' 35.48'' W,35,81,Garnacha,2018,K,01/07/2018
42º 19' 29.65'' N,1º 58' 35.48'' W,35,81,Garnacha,2018,L,14/07/2018
42º 19' 29.65'' N,1º 58' 35.48'' W,35,81,Garnacha,2018,M,05/08/2018
42º 19' 29.65'' N,1º 58' 35.48'' W,35,81,Garnacha,2018,N,12/10/2018
42º 19' 29.65'' N,1º 58' 35.48'' W,35,81,Garnacha,2018,O,12/11/2018
42º 19' 34.42'' N,1º 58' 36.33'' W,35,223,Garnacha,2018,A,17/02/2018
42º 19' 34.42'' N,1º 58' 36.33'' W,35,223,Garnacha,2018,B,21/03/2018
42º 19' 34.42'' N,1º 58' 36.33'' W,35,223,Garnacha,2018,C,28/03/2018
42º 19' 34.42'' N,1º 58' 36.33'' W,35,223,Garnacha,2018,D,07/04/2018
42º 19' 34.42'' N,1º 58' 36.33'' W,35,223,Garnacha,2018,E,11/04/2018
42º 19' 34.42'' N,1º 58' 36.33'' W,35,223,Garnacha,2018,F,10/04/2018
42º 19' 34.42'' N,1º 58' 36.33'' W,35,223,Garnacha,2018,G,29/04/2018
42º 19' 34.42'' N,1º 58' 36.33'' W,35,223,Garnacha,2018,H,04/05/2018
42º 19' 34.42'' N,1º 58' 36.33'' W,35,223,Garnacha,2018,I,01/06/2018
42º 19' 34.42'' N,1º 58' 36.33'' W,35,223,Garnacha,2018,J,05/06/2018
42º 19' 34.42'' N,1º 58' 36.33'' W,35,223,Garnacha,2018,K,03/07/2018
42º 19' 34.42'' N,1º 58' 36.33'' W,35,223,Garnacha,2018,L,17/07/2018
42º 19' 34.42'' N,1º 58' 36.33'' W,35,223,Garnacha,2018,M,05/08/2018
42º 19' 34.42'' N,1º 58' 36.33'' W,35,223,Garnacha,2018,N,10/10/2018
42º 19' 34.42'' N,1º 58' 36.33'' W,35,223,Garnacha,2018,O,13/11/2018
42º 19' 31.00'' N,1º 58' 35.73'' W,35,109,Garnacha,2018,A,16/02/2018
42º 19' 31.00'' N,1º 58' 35.73'' W,35,109,Garnacha,2018,B,23/03/2018
42º 19' 31.00'' N,1º 58' 35.73'' W,35,109,Garnacha,2018,C,28/03/2018
42º 19' 31.00'' N,1º 58' 35.73'' W,35,109,Garnacha,2018,D,05/04/2018
42º 19' 31.00'' N,1º 58' 35.73'' W,35,109,Garnacha,2018,E,08/04/2018
42º 19' 31.00'' N,1º 58' 35.73'' W,35,109,Garnacha,2018,F,10/04/2018
42º 19' 31.00'' N,1º 58' 35.73'' W,35,109,Garnacha,2018,G,29/04/2018
42º 19' 31.00'' N,1º 58' 35.73'' W,35,109,Garnacha,2018,H,05/05/2018
42º 19' 31.00'' N,1º 58' 35.73'' W,35,109,Garnacha,2018,I,02/06/2018
42º 19' 31.00'' N,1º 58' 35.73'' W,35,109,Garnacha,2018,J,07/06/2018
42º 19' 31.00'' N,1º 58' 35.73'' W,35,109,Garnacha,2018,K,01/07/2018
42º 19' 31.00'' N,1º 58' 35.73'' W,35,109,Garnacha,2018,L,16/07/2018
42º 19' 31.00'' N,1º 58' 35.73'' W,35,109,Garnacha,2018,M,04/08/2018
42º 19' 31.00'' N,1º 58' 35.73'' W,35,109,Garnacha,2018,N,12/10/2018
42º 19' 31.00'' N,1º 58' 35.73'' W,35,109,Garnacha,2018,O,13/11/2018
42º 19' 28.86'' N,1º 58' 29.37'' W,35,111,Tempranillo,2019,A,20/02/2019
42º 19' 28.86'' N,1º 58' 29.37'' W,35,111,Tempranillo,2019,B,25/03/2019
42º 19' 28.86'' N,1º 58' 29.37'' W,35,111,Tempranillo,2019,C,02/04/2019
42º 19' 28.86'' N,1º 58' 29.37'' W,35,111,Tempranillo,2019,D,06/04/2019
42º 19' 28.86'' N,1º 58' 29.37'' W,35,111,Tempranillo,2019,E,13/04/2019
42º 19' 28.86'' N,1º 58' 29.37'' W,35,111,Tempranillo,2019,F,18/04/2019
42º 19' 28.86'' N,1º 58' 29.37'' W,35,111,Tempranillo,2019,G,28/04/2019
42º 19' 28.86'' N,1º 58' 29.37'' W,35,111,Tempranillo,2019,H,08/05/2019
42º 19' 28.86'' N,1º 58' 29.37'' W,35,111,Tempranillo,2019,I,03/06/2019
42º 19' 28.86'' N,1º 58' 29.37'' W,35,111,Tempranillo,2019,J,11/06/2019
42º 19' 28.86'' N,1º 58' 29.37'' W,35,111,Tempranillo,2019,K,03/07/2019
42º 19' 28.86'' N,1º 58' 29.37'' W,35,111,Tempranillo,2019,L,15/07/2019
42º 19' 28.86'' N,1º 58' 29.37'' W,35,111,Tempranillo,2019,M,04/08/2019
42º 19' 28.86'' N,1º 58' 29.37'' W,35,111,Tempranillo,2019,N,13/09/2019
42º 19' 28.86'' N,1º 58' 29.37'' W,35,111,Tempranillo,2019,O,19/11/2019
42º 19' 34.62'' N,1º 58' 26.07'' W,35,119,Tempranillo,2019,A,16/02/2019
42º 19' 34.62'' N,1º 58' 26.07'' W,35,119,Tempranillo,2019,B,25/03/2019
42º 19' 34.62'' N,1º 58' 26.07'' W,35,119,Tempranillo,2019,C,01/04/2019
42º 19' 34.62'' N,1º 58' 26.07'' W,35,119,Tempranillo,2019,D,06/04/2019
42º 19' 34.62'' N,1º 58' 26.07'' W,35,119,Tempranillo,2019,E,12/04/2019
42º 19' 34.62'' N,1º 58' 26.07'' W,35,119,Tempranillo,2019,F,16/04/2019
42º 19' 34.62'' N,1º 58' 26.07'' W,35,119,Tempranillo,2019,G,28/04/2019
42º 19' 34.62'' N,1º 58' 26.07'' W,35,119,Tempranillo,2019,H,09/05/2019
42º 19' 34.62'' N,1º 58' 26.07'' W,35,119,Tempranillo,2019,I,04/06/2019
42º 19' 34.62'' N,1º 58' 26.07'' W,35,119,Tempranillo,2019,J,09/06/2019
42º 19' 34.62'' N,1º 58' 26.07'' W,35,119,Tempranillo,2019,K,04/07/2019
42º 19' 34.62'' N,1º 58' 26.07'' W,35,119,Tempranillo,2019,L,17/07/2019
42º 19' 34.62'' N,1º 58' 26.07'' W,35,119,Tempranillo,2019,M,01/08/2019
42º 19' 34.62'' N,1º 58' 26.07'' W,35,119,Tempranillo,2019,N,14/09/2019
42º 19' 34.62'' N,1º 58' 26.07'' W,35,119,Tempranillo,2019,O,19/11/2019
42º 19' 31.60'' N,1º 58' 29.81'' W,35,117,Tempranillo,2019,A,20/02/2019
42º 19' 31.60'' N,1º 58' 29.81'' W,35,117,Tempranillo,2019,B,23/03/2019
42º 19' 31.60'' N,1º 58' 29.81'' W,35,117,Tempranillo,2019,C,02/04/2019
42º 19' 31.60'' N,1º 58' 29.81'' W,35,117,Tempranillo,2019,D,06/04/2019
42º 19' 31.60'' N,1º 58' 29.81'' W,35,117,Tempranillo,2019,E,13/04/2019
42º 19' 31.60'' N,1º 58' 29.81'' W,35,117,Tempranillo,2019,F,16/04/2019
42º 19' 31.60'' N,1º 58' 29.81'' W,35,117,Tempranillo,2019,G,29/04/2019
42º 19' 31.60'' N,1º 58' 29.81'' W,35,117,Tempranillo,2019,H,09/05/2019
42º 19' 31.60'' N,1º 58' 29.81'' W,35,117,Tempranillo,2019,I,05/06/2019
